"['60454', 0.3470890698564131]","['148780', 0.24971368087028595]","['182934', 0.5196014072476991]","['303712', 0.13331683159379654]","['385437', 0.26086869798083523]","['408832', 0.36823698563046897]","['444018', 0.30974082324777114]","['486958', 0.07228262298931415]","['1995DC2', 0.3404603906274742]","['1999CP15', 0.11249454392898192]","['1999CU15', 0.16238958583054777]","['1999DH8', 0.3308222749244861]","['1999HS11', 0.41636159475414564]","['1999RR21', 0.252605775045247]","['2000CJ10', 0.36077544596852046]","['2000CP10', 0.42694580735005794]","['2000OH67', 0.241632525927725]","['2000PW29', 0.19636923788161376]","['2000PY29', 0.05986754056906773]","['2000QC22', 0.36594504722185406]","['2000YZ1', 0.45032857161609396]","['2001ES24', 0.29861684884446044]","['2001FL18', 0.3007865980827789]","['2001QX29', 0.32306481948086785]","['2001QZ29', 0.27241039336594924]","['2001UN18', 0.20757365539438402]","['2002CY15', 0.22341423950544137]","['2002FX36', 0.27561436389674354]","['2002VF13', 0.27634810943121774]","['2003HE57', 0.3872675075626504]","['2003QJ91', 0.12332445991688737]","['2003QT91', 0.19008334378952157]","['2003WU18', 0.31299996419521176]","['2003YN17', 0.17043760613847508]","['2004HE79', 0.318414701943534]","['2004HG79', 0.24117354246727]","['2004KF19', 0.3255091052278051]","['2004PX11', 0.29221930534068097]","['2004PY10', 0.20219267441284453]","['2004VB13', 0.24799189016218]","['2005EE29', 0.19715825518149194]","['2005GC18', 0.03846326057144354]","['2005JY18', 0.3187279052518233]","['2005LA54', 0.38865334478657676]","['2007CS79', 0.22011128454990242]","['2009KO30', 0.4032127508075567]","['2011BV16', 0.14768844770736017]","['2011UY41', 0.18593526404045113]","['2013FA28', 0.16046487960363537]","['2013GE13', 0.20320033854845485]","['2013GN13', 0.36898194750720387]","['2013GU13', 0.3123205443351195]","['2013JQ65', 0.436476485522172]","['2013SQ99', 0.228042052232064]","['2014LT28', 0.3072849205766321]","['2014PN70', 0.14135106088666696]","['2014TC86', 0.32881085381448244]","['2014WS50', 0.22004640968167583]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['20108', 0.3367156835004157]","['90482', 0.15030318853851474]","['456826', 0.36253296192876744]","['469362', 0.06958700679833624]","['469372', 0.3215275283939971]","['491767', 0.18762955927877795]","['2001FU17', 0.2896935423595845]","['2001RX14', 0.16977116505712447]","['2003HA57', 0.1687354393269108]","['2003TH58', 0.14615215193472794]","['2003UT29', 0.009698016042531747]","['2004HA79', 0.20875571485552952]","['2004VV13', 0.1401608059164577]","['2005CD81', 0.23427729620080023]","['2005TV18', 0.3784349990220943]","['2006WS19', 0.43498488305324323]","['2009JZ18', 0.22309627626845352]","['2010EL13', 0.325487406077645]","['2010JK12', 0.07181120027437216]","['2010VX11', 0.22076106650594537]","['2012UG17', 0.13114247399240325]","['2012UH17', 0.13436126110171706]","['2013HU15', 0.3445126289632284]","['2013JB65', 0.13888898989897874]","['2013JJ65', 0.07072091971157383]","['2014DP14', 0.279508226148797]","['2014GC54', 0.11087448541100392]","['2014GJ54', 0.058273077103877476]","['2014JK80', 0.26285271829515827]","['2014JP80', 0.45167350101058745]","['2014WC51', 0.09663411155049333]","['2014WF51', 0.2323810415779275]","['2014WQ51', 0.2290095009277013]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['182933', 0.6064390900989203]","['471210', 0.4812890295861747]","['2003FM12', 0.3137692304863529]","['2004QH29', 0.3901884544678325]","['2006WG20', 0.41414933297061146]","['2007FO51', 0.3414932356577461]","['2014FF72', 0.3573045899509326]","['2014GV53', 0.21364800490526187]","['2014UR22', 0.5466018386357676]","['2014WK50', 0.6421983572074849]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['15883', 0.5759393234949584]","['126719', 0.18368615720250375]","['1999CB11', 0.21689535645599264]","['1999CL11', 0.13899030307118762]","['1999OG4', 0.2931801419812968]","['1999RV21', 0.5894620391952037]","['1999RX21', 0.36381698098380993]","['2000PA30', 0.1556030065653352]","['2002CT15', 0.519129170488596]","['2002FV6', 0.2499439850290013]","['2003YV17', 0.5261500777799254]","['2005JR17', 0.42159529842275734]","['2009DR14', 0.1853809473817874]","['2010FX86', 0.2461865234894594]","['2010RO64', 0.1520000143020499]","['2012BV15', 0.20307930556269388]","['2012SB67', 0.5171724125935427]","['2013JM65', 0.36192443362139465]","['2013JV63', 0.33010437084682215]","['2014AM55', 0.3775432483144447]","['2014DL14', 0.2646227585598487]","['2014DN14', 0.33214304801971417]","['2015BZ51', 0.2101675625490876]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['2013FQ28', 0.39574541479760506]","['2014JM80', 0.6671983713009725]","['2015FJ34', 0.5371584806491727]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['79969', 0.21060297786525412]","['127871', 0.3121964354148089]","['131697', 0.23101388331810407]","['308460', 0.31813191334054136]","['427581', 0.2882327432574466]","['432949', 0.6297485098944559]","['2002GW32', 0.13080334202806185]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['15809', 0.3887033545341343]","['80806', 0.5891733209963892]","['126154', 0.07471678409897119]","['143751', 0.2951592753516138]","['149349', 0.29355612380953644]","['434709', 0.4723275323608451]","['469420', 0.15369807359264573]","['469584', 0.2935150799770112]","['470523', 0.39954486334588385]","['1997CV29', 0.3008893520447648]","['1999CX13', 0.30247131736098487]","['2000PL30', 0.2986703832422678]","['2000QN25', 0.3671499723190938]","['2000ST33', 0.6141123693379842]","['2001DC10', 0.5777686406979137]","['2001QF33', 0.09725431699370757]","['2002GS32', 0.2828570348672867]","['2002VV13', 0.2887698082797266]","['2004HL79', 0.29812061682131624]","['2004KK19', 0.19811588067066915]","['2004VE13', 0.2701307050782677]","['2005SE27', 0.306012748384623]","['2005TN74', 0.183292929012783]","['2006QQ18', 0.17670681318526218]","['2010MQ11', 0.6489200242141422]","['2010OO12', 0.5802559761226805]","['2011UJ41', 0.30590423693357716]","['2011UK41', 0.4259193560124805]","['2011UL41', 0.3947715822775449]","['2011UM41', 0.1515809942772621]","['2011UN41', 0.08430541011056736]","['2011UO41', 0.15993029052086824]","['2011UX41', 0.29956285179226966]","['2012BY15', 0.0863724367265501]","['2012TC32', 0.21746608431220665]","['2012UC17', 0.24395163900641173]","['2013GT13', 0.40894730446121075]","['2013JM64', 0.23598708052329795]","['2013JO65', 0.35773076164356943]","['2013RB98', 0.5485559204184072]","['2013UF15', 0.26462501360621243]","['2014DK14', 0.20374665107943007]","['2014OK39', 0.2806855931000267]","['2014OL39', 0.2958038164494879]","['2014QZ44', 0.2778456445113323]","['2014TA86', 0.09206955074244762]","['2014WN50', 0.28506736427363555]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['84522', 0.525600475646661]","['2004OJ14', 0.22573333825555497]","['2005SD27', 0.17498639947151817]","['2015AM28', 0.24426596160742742]","['2015GP50', 0.5043272152085408]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['385571', 0.4909659102218837]","['385695', 0.47619221434206727]","['2005TN53', 0.44809493971702014]","['2008LC18', 0.48443872161502194]","['2010TT19', 0.35308883443122396]","['2011HM10', 0.51967208410689]","['2011SO27', 0.4758048181765298]","['2014QO44', 0.3366592862227315]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['2014FZ71', 7.450580596923828e-09]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['427614', 0.4881369229586653]","['469615', 0.5426494673769071]","['493480', 0.5253127216768642]","['1999OH4', 0.42473232093219376]","['2007RL31', 0.08124496565602694]","['2010AH2', 0.2889853706408815]","['2010RD18', 0.37824230916760465]","['2012HL85', 0.13936945305354043]","['2013JS65', 0.2646710117191678]","['2013JU64', 0.3582709247979133]","['2013QO95', 0.6841254676998596]","['2013XD26', 0.5554326641857231]","['2014MY69', 0.22271810783041604]","['2014TT85', 0.3205823520477181]","['2014WZ50', 0.37442656897655324]","['2015FO34', 0.31420448048293964]","['2015OV79', 0.4856541407673218]","['2015RS24', 0.21335335843513625]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['66452', 0.17550619956842128]","['137294', 0.2855299040152383]","['364171', 0.44453512112435284]","['385363', 0.16743215368309272]","['1999CC11', 0.3773507306380146]","['2000PN30', 0.22538472422292916]","['2000WM18', 0.3118796660363546]","['2000WN18', 0.3782260883559555]","['2000WT16', 0.3581097232874888]","['2002CZ22', 0.17526045214751196]","['2002PC17', 0.4291265243643723]","['2003UN29', 0.231587836655882]","['2004MU8', 0.1755772590999492]","['2005EN30', 0.3008348817656578]","['2006JV58', 0.1417332920910076]","['2006QF18', 0.3011123941538141]","['2007FP51', 0.6172430040810087]","['2011JX31', 0.29103045560036706]","['2013GU13', 0.19902505850531613]","['2013GY13', 0.16613526442915746]","['2014DM14', 0.2838794217391512]","['2014WP50', 0.39352550881353493]","['2015BV51', 0.39236752402950864]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['24978', 0.25760185766638066]","['33001', 0.25402614614805236]","['45802', 0.16023602256305522]","['50000', 0.2647177419948038]","['308634', 0.4838469622998805]","['385194', 0.2171478365695417]","['385201', 0.1305017895400885]","['469610', 0.3907194864262238]","['1998WX24', 0.30430908148323693]","['1998WY24', 0.4528915069563224]","['1999DA', 0.3308912465949648]","['1999JD13', 0.18663221299342872]","['2000FH8', 0.33147757530009414]","['2000OU69', 0.42165094221781957]","['2000WV12', 0.29560663545805066]","['2001FK18', 0.4054231333720032]","['2001OZ10', 0.2551296083820503]","['2001XU25', 0.3544227460629867]","['2002CZ15', 0.4537629148870898]","['2002PD15', 0.2694602328232665]","['2003QD91', 0.40435296100458235]","['2003QY11', 0.29971522662882794]","['2003YR17', 0.42257044729468524]","['2004HH79', 0.17548955218710585]","['2004KG19', 0.34797358674643025]","['2010TF19', 0.24971647337164316]","['2011HZ10', 0.4624999644034261]","['2011UC41', 0.27725688977341867]","['2011UV41', 0.19338040988378724]","['2012CS57', 0.4001173364487405]","['2012TF32', 0.42281093047227297]","['2013FH28', 0.469064476300252]","['2013GC13', 0.39400052928031704]","['2013GX13', 0.2550500285692507]","['2013UO15', 0.2328106893447516]","['2014DE14', 0.2594850999058882]","['2014HU19', 0.35490705413272855]","['2014LS28', 0.2501439926785696]","['2014MG70', 0.4389834654367168]","['2014UD22', 0.2872329767398437]","['2016FW59', 0.37586019066513404]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['119979', 0.06799144145490378]","['278361', 0.14712567379245273]","['308379', 0.11552343437105762]","['469505', 0.23394329203651404]","['487581', 0.40339699566446113]","['2000QL25', 0.2637293383165395]","['2000YE2', 0.3076382029086803]","['2001FQ18', 0.33180289915683836]","['2001UP18', 0.5174588523630517]","['2002PU17', 0.32317791367741366]","['2004HP79', 0.36223730328182846]","['2004KM19', 0.16457996199079203]","['2004TV35', 0.30429268165881423]","['2005CA79', 0.1677309270494961]","['2007PS45', 0.36900465594775533]","['2011UG41', 0.2234812383375522]","['2011US41', 0.3279106035017595]","['2011UT41', 0.6571264232330937]","['2012DX98', 0.2956276984842785]","['2012JH67', 0.19027148002556055]","['2012KW51', 0.12585879433361927]","['2012VR11', 0.3130657057410052]","['2012XR15', 0.5768042441861144]","['2013EC13', 0.17557287977111163]","['2013FZ27', 0.3072865700142389]","['2013GX13', 0.3341883658790144]","['2013JE64', 0.17751601649178012]","['2013JJ64', 0.4397842242383]","['2013UK15', 0.17579921469928322]","['2014DO14', 0.442434022074349]","['2014GE54', 0.38176764675796315]","['2014JS80', 0.14631733967268765]","['2014UT22', 0.10736369912071407]","['2014WT50', 0.27231716088251356]","['2014WT69', 0.22949501931171226]","['2015GS50', 0.2779814092504724]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['15836', 0.38448146899427843]","['131695', 0.7413440496827348]","['135182', 0.6317871477008681]","['143685', 0.24576350420677984]","['1998UU43', 0.13588119811070584]","['1999RW21', 0.2277865228673535]","['2002FW6', 0.2527550197325457]","['2004HM79', 0.4507277448748936]","['2004TX35', 0.40977127766596594]","['2005CF81', 0.45741086563395505]","['2005ER31', 0.19573655764828995]","['2006TO13', 0.3209542023404713]","['2010LP68', 0.23677161992097986]","['2010VL20', 0.4197712472287725]","['2011UA41', 0.20352297167641198]","['2011UZ41', 0.31174011612239094]","['2014DH14', 0.30401430887378433]","['2014DU14', 0.15997562314302186]","['2014QY44', 0.35156976548048774]","['2015BM51', 0.05184110338329717]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['136472', 0.41281803590592936]","['174567', 0.22482222036364957]","['181855', 0.5587849937415688]","['470443', 0.3232981120123789]","['471921', 0.08617093923841096]","['2002VF13', 0.0727360348742916]","['2004PZ10', 0.40176775725440655]","['2007FM51', 0.31870241726292164]","['2007RW32', 0.47893211338431263]","['2009KL30', 0.17181085306453656]","['2013FB28', 0.3220244257338818]","['2013HR15', 0.11339237526940797]","['2014BV64', 0.24986282390389675]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['42301', 0.5344371618815393]","['182397', 0.31153022325289875]","['2002CP15', 0.29911900641718175]","['2010PP81', 0.45495617371346375]","['2014EZ51', 0.5149380739467563]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['35671', 0.5220277160875961]","['1998HN15', 0.38434641098411887]","['1999OJ4', 0.37727024314625673]","['2000OB51', 0.5743515790555744]","['2003FD12', 0.27644233329279394]","['2003QA92', 0.2829928685256257]","['2004KD19', 0.30787913803368666]","['2006AO98', 0.3774005347589753]","['2013PW74', 0.6429073522960849]","['2014DJ14', 0.4352129781654422]","['2014HV19', 0.14367406294679905]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['145452', 0.17978012496753357]","['385191', 0.5339128268422296]","['471318', 0.42025562855639575]","['1997RX9', 0.528070822270401]","['1998HO15', 0.3009554895107625]","['1999CQ13', 0.5192437834646306]","['1999OD4', 0.27125026574487576]","['2000KK4', 0.4193121828264342]","['2005JB18', 0.2903649313077137]","['2005RQ43', 0.2704183918794436]","['2007TZ41', 0.38737642330597566]","['2008AQ11', 0.4001840743124746]","['2010TE19', 0.4476716505058843]","['2010VR11', 0.4321847907242067]","['2011UK41', 0.2696592170376071]","['2012UO17', 0.2555581995032309]","['2013GO13', 0.38782031062507893]","['2013GV13', 0.6678115802130622]","['2013GZ13', 0.07911000779504815]","['2013JP65', 0.5168776515449859]","['2013MA12', 0.2566168219999107]","['2013NK24', 0.5771255438232998]","['2014EA52', 0.2676258706976424]","['2014GW53', 0.3938289053214217]","['2014QE44', 0.36082531322880174]","['2014QU44', 0.421879967131255]","['2014WU50', 0.3694336115370828]","['2014YB50', 0.5508458889138883]","['2015BQ51', 0.1133745709289835]","['2015CL62', 0.44804552596062064]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['79978', 0.3557245844751135]","['2005CG81', 0.33513084012069133]","['2007LE38', 0.6868213595979634]","['2012OL6', 0.4676707388751163]","['2015GR50', 0.7013275411674617]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['19255', 0.33306657421174174]","['69987', 0.41192190660713773]","['88268', 0.4653890384859293]","['385266', 0.2348798477033459]","['420356', 0.16592571487609623]","['434194', 0.33940677238802003]","['439858', 0.15917582372063685]","['488644', 0.27432673428388277]","['1996TK66', 0.2208056999781781]","['1999RT21', 0.27667897849828377]","['2000PU29', 0.458035323029631]","['2000PX29', 0.20062338561877474]","['2001HZ58', 0.2405617235911491]","['2001QD29', 0.14069983247022144]","['2002CD25', 0.34034343998799294]","['2002PV17', 0.12675195123884003]","['2002PX17', 0.04994454067117865]","['2002VT13', 0.46997686873170325]","['2003FA13', 0.2054730083073082]","['2003QG91', 0.34073590527393766]","['2003QN91', 0.13311965616368768]","['2003QY90', 0.34119282357216346]","['2003SN31', 0.3818580327069942]","['2003UN28', 0.2140919361929609]","['2003UT29', 0.35028380330405035]","['2005CE81', 0.25758832049832187]","['2005JZ17', 0.2209258763865166]","['2006HA12', 0.33678322828957713]","['2012DZ98', 0.2519099895937963]","['2012UB17', 0.4615288104302299]","['2013GR13', 0.23062471060763304]","['2013JS64', 0.14778207894446732]","['2013JV65', 0.2218198432447953]","['2013LY35', 0.43066581342979]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['82075', 0.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['2000CG10', 0.09580179191088971]","['2001QA29', 0.35605573065649493]","['2001QC29', 0.20974273924659545]","['2007RX32', 0.34334499171145044]","['2010TK19', 0.45137558270985917]","['2011UH41', 0.17148172886152105]","['2014FG72', 0.48238606599555717]","['2014HW19', 0.41072032252292784]","['2014OB39', 0.4096685041998379]","['2014OZ39', 0.37793013022691097]","['2014YA50', 0.36445797654416423]","['2015BN51', 0.38644303159284266]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['15807', 0.19846674784457247]","['79360', 0.24262203115134484]","['275809', 0.2434535890062075]","['307616', 0.3587903984222593]","['363330', 0.15726840114912566]","['385447', 0.16710221422829902]","['1997CT29', 0.33666979371484607]","['1998KS65', 0.25060915785341636]","['1999CN11', 0.2741810533205994]","['1999CS15', 0.08892777968668238]","['2000CE10', 0.24577988119454985]","['2000CF10', 0.17474538620520144]","['2000SY37', 0.26009642442755043]","['2000WO18', 0.018383416439993243]","['2000YV1', 0.22343265204530036]","['2001XX25', 0.3051534859705751]","['2002CU15', 0.18586756037566837]","['2003FM12', 0.1081926522458725]","['2003QV90', 0.2289400576570349]","['2003QX90', 0.28539612821478344]","['2005EC31', 0.2876726438158486]","['2006BR28', 0.08108483212045552]","['2010TL18', 0.08856777066177465]","['2011BS16', 0.13645237264332594]","['2011HE10', 0.39898352096296]","['2012UE17', 0.24233024986574253]","['2013GA13', 0.09922927995303188]","['2013GP13', 0.3410566668458435]","['2013GS13', 0.29470977248812663]","['2013GV13', 0.17312611010474024]","['2013SP99', 0.16547462041049188]","['2014DD14', 0.11830532532394189]","['2014GZ53', 0.320865158594703]","['2014WD50', 0.009568176420010432]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['120132', 0.15215091192626085]","['181868', 0.2648797840530621]","['2003UY29', 0.5505903195661884]","['2009DS14', 0.3316621775240582]","['2010RF43', 0.5655424829312126]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['86177', 0.39647788925319166]","['470596', 0.2829312342837518]","['1999RY21', 0.41572284437270635]","['2001KE77', 0.5111097892494967]","['2004PB10', 0.45757227115870497]","['2010KZ39', 0.22771864950709855]","['2010SS43', 0.5940678552713256]","['2013NM24', 0.27022524555143856]","['2014FP43', 0.5287253382743579]","['2014TE86', 0.1241079503228152]","['2014UF22', 0.43612729410881357]","['2015PF31', 0.2819093530433589]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['2000KL4', 0.2139225327075274]","['2004OP15', 0.2659514053356409]","['2014KS10', 0.22587795377150394]","['2014QX44', 0.2558752625792432]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['24835', 0.03632714014496401]","['90568', 0.26717309204168066]","['120347', 0.48748103666821296]","['307261', 0.3188879723177027]","['315530', 0.1512331349642259]","['470027', 0.139148342106921]","['1998FS14', 0.580306762746124]","['2002GH32', 0.43472550087510065]","['2003YK17', 0.4216299786410956]","['2008QB43', 0.16781102135703418]","['2010TA19', 0.25746312573085917]","['2011CX11', 0.16514830035792483]","['2011UJ41', 0.4782975654455177]","['2013JG64', 0.3911431181663388]","['2014BX64', 0.45657555660469434]","['2015AN28', 0.14937014055322476]","['2015FN34', 0.273124442536927]","['2015PL31', 0.2994292255460627]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['48639', 0.6429888801526779]","['181867', 0.3586896987648164]","['181874', 0.34709163055308734]","['2013JN64', 0.335827336588304]","['2013UJ15', 0.21122712893945125]","['2014CP23', 0.3845085174609329]","['2014OJ39', 0.49395090849191825]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
